,ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,CUSTOMERNAME,COUNTRY,DEALSIZE,Total Order Value
21,10361,20,72.55,13,1451.0,2004-12-17,Shipped,4,12,2004,Motorcycles,95,Souveniers And Things Co.,Australia,Small,37905.15
22,10375,21,34.91,12,733.11,2005-02-03,Shipped,1,2,2005,Motorcycles,95,La Rochelle Gifts,France,Small,59617.4
23,10388,42,76.36,4,3207.12,2005-03-03,Shipped,1,3,2005,Motorcycles,95,FunGiftIdeas.com,USA,Medium,37557.66
24,10403,24,100.0,7,2434.56,2005-04-08,Shipped,2,4,2005,Motorcycles,95,"UK Collectables, Ltd.",UK,Small,40802.81
25,10417,66,100.0,2,7516.08,2005-05-13,Disputed,2,5,2005,Motorcycles,95,Euro Shopping Channel,Spain,Large,31821.9
26,10103,26,100.0,11,5404.62,2003-01-29,Shipped,1,1,2003,Classic Cars,214,Baane Mini Imports,Norway,Medium,54702.0
27,10112,29,100.0,1,7209.11,2003-03-24,Shipped,1,3,2003,Classic Cars,214,"Volvo Model Replicas, Co",Sweden,Large,9749.0
28,10126,38,100.0,11,7329.06,2003-05-28,Shipped,2,5,2003,Classic Cars,214,"Corrida Auto Replicas, Ltd",Spain,Large,61073.21
29,10140,37,100.0,11,7374.1,2003-07-24,Shipped,3,7,2003,Classic Cars,214,Technics Stores Inc.,USA,Large,42031.83
30,10150,45,100.0,8,10993.5,2003-09-19,Shipped,3,9,2003,Classic Cars,214,"Dragon Souveniers, Ltd.",Singapore,Large,44219.36
31,10163,21,100.0,1,4860.24,2003-10-20,Shipped,4,10,2003,Classic Cars,214,Classic Legends Inc.,USA,Medium,25284.75
32,10174,34,100.0,4,8014.82,2003-11-06,Shipped,4,11,2003,Classic Cars,214,"Australian Gift Network, Co",Australia,Large,27098.8
33,10183,23,100.0,8,5372.57,2003-11-13,Shipped,4,11,2003,Classic Cars,214,"Classic Gift Ideas, Inc",USA,Medium,40061.659999999996
34,10194,42,100.0,11,7290.36,2003-11-25,Shipped,4,11,2003,Classic Cars,214,"Saveley & Henriot, Co.",France,Large,41535.11
35,10206,47,100.0,6,9064.89,2003-12-05,Shipped,4,12,2003,Classic Cars,214,Canadian Gift Exchange Network,Canada,Large,38662.21
36,10215,35,100.0,3,6075.3,2004-01-29,Shipped,1,1,2004,Classic Cars,214,West Coast Collectables Co.,USA,Medium,37850.08
37,10228,29,100.0,2,6463.23,2004-03-10,Shipped,1,3,2004,Classic Cars,214,Cambridge Collectables Co.,USA,Medium,21782.7
38,10245,34,100.0,9,6120.34,2004-05-04,Shipped,2,5,2004,Classic Cars,214,Super Scale Inc.,USA,Medium,36973.31
39,10258,32,100.0,6,7680.64,2004-06-15,Shipped,2,6,2004,Classic Cars,214,"Tokyo Collectables, Ltd",Japan,Large,25928.75
40,10270,21,100.0,9,4905.39,2004-07-19,Shipped,3,7,2004,Classic Cars,214,Souveniers And Things Co.,Australia,Medium,41297.14
41,10280,34,100.0,2,8014.82,2004-08-17,Shipped,3,8,2004,Classic Cars,214,Amica Models & Co.,Italy,Large,56078.26
42,10291,37,100.0,11,7136.19,2004-09-08,Shipped,3,9,2004,Classic Cars,214,Scandinavian Gift Ideas,Sweden,Large,53941.69
43,10304,47,100.0,6,10172.7,2004-10-11,Shipped,4,10,2004,Classic Cars,214,Auto Assoc. & Cie.,France,Large,59074.9
44,10312,48,100.0,3,11623.7,2004-10-21,Shipped,4,10,2004,Classic Cars,214,Mini Gifts Distributors Ltd.,USA,Large,63075.08
45,10322,40,100.0,1,6000.4,2004-11-04,Shipped,4,11,2004,Classic Cars,214,Online Diecast Creations Co.,USA,Medium,55570.6
46,10333,26,100.0,3,3003.0,2004-11-18,Shipped,4,11,2004,Classic Cars,214,Mini Wheels Co.,USA,Medium,30348.72
47,10347,30,100.0,1,3944.7,2004-11-29,Shipped,4,11,2004,Classic Cars,214,"Australian Collectors, Co.",Australia,Medium,47442.91
48,10357,32,100.0,10,5691.84,2004-12-10,Shipped,4,12,2004,Classic Cars,214,Mini Gifts Distributors Ltd.,USA,Medium,42152.11
49,10369,41,100.0,2,4514.92,2005-01-20,Shipped,1,1,2005,Classic Cars,214,Collectables For Less Inc.,USA,Medium,31474.78
50,10381,36,100.0,3,8254.8,2005-02-17,Shipped,1,2,2005,Classic Cars,214,Corporate Gift Ideas Co.,USA,Large,36495.95
51,10391,24,100.0,4,2416.56,2005-03-09,Shipped,1,3,2005,Classic Cars,214,"Anna's Decorations, Ltd",Australia,Small,35160.25
52,10411,23,100.0,9,4140.23,2005-05-01,Shipped,2,5,2005,Classic Cars,214,Quebec Home Shopping Network,Canada,Medium,33692.97
53,10424,50,100.0,6,12001.0,2005-05-31,In Process,2,5,2005,Classic Cars,214,Euro Shopping Channel,Spain,Large,35133.34
54,10107,39,99.91,5,3896.49,2003-02-24,Shipped,1,2,2003,Motorcycles,118,Land of Toys Inc.,USA,Medium,25783.76
55,10120,29,96.34,3,2793.86,2003-04-29,Shipped,2,4,2003,Motorcycles,118,"Australian Collectors, Co.",Australia,Small,50397.66
56,10134,27,100.0,5,3307.77,2003-07-01,Shipped,3,7,2003,Motorcycles,118,Lyon Souveniers,France,Medium,25624.88
57,10145,37,100.0,9,5192.95,2003-08-25,Shipped,3,8,2003,Motorcycles,118,Toys4GrownUps.com,USA,Medium,55776.119999999995
58,10159,37,100.0,17,5016.83,2003-10-10,Shipped,4,10,2003,Motorcycles,118,Corporate Gift Ideas Co.,USA,Medium,62498.29
59,10168,27,100.0,4,3660.93,2003-10-28,Shipped,4,10,2003,Motorcycles,118,Technics Stores Inc.,USA,Medium,62305.47
60,10180,42,100.0,12,4695.6,2003-11-11,Shipped,4,11,2003,Motorcycles,118,Daedalus Designs Imports,France,Medium,48874.28
61,10188,38,96.34,4,3660.92,2003-11-18,Shipped,4,11,2003,Motorcycles,118,Herkku Gifts,Norway,Medium,34481.340000000004
62,10201,24,100.0,5,3025.92,2003-12-01,Shipped,4,12,2003,Motorcycles,118,Mini Wheels Co.,USA,Medium,25431.88
63,10210,23,100.0,2,3009.09,2004-01-12,Shipped,1,1,2004,Motorcycles,118,Osaka Souveniers Co.,Japan,Medium,50490.64
64,10223,47,100.0,4,5422.39,2004-02-20,Shipped,1,2,2004,Motorcycles,118,"Australian Collectors, Co.",Australia,Medium,49637.57
65,10236,22,100.0,1,2852.08,2004-04-03,Shipped,2,4,2004,Motorcycles,118,Motor Mint Distributors Inc.,USA,Small,7287.24
66,10251,44,100.0,5,5756.52,2004-05-18,Shipped,2,5,2004,Motorcycles,118,Tekni Collectables Inc.,USA,Medium,27987.07
67,10263,40,100.0,5,4472.0,2004-06-28,Shipped,2,6,2004,Motorcycles,118,Gift Depot Inc.,USA,Medium,44130.520000000004
68,10275,22,100.0,4,2904.44,2004-07-23,Shipped,3,7,2004,Motorcycles,118,La Rochelle Gifts,France,Small,56002.9
69,10285,47,100.0,9,6484.59,2004-08-27,Shipped,3,8,2004,Motorcycles,118,Marta's Replicas Co.,USA,Medium,48828.72
70,10298,39,96.34,1,3757.26,2004-09-27,Shipped,3,9,2004,Motorcycles,118,Atelier graphique,France,Medium,5307.9800000000005
71,10308,34,100.0,2,4043.96,2004-10-15,Shipped,4,10,2004,Motorcycles,118,Mini Classics,USA,Medium,46873.04
72,10318,45,100.0,4,5566.5,2004-11-02,Shipped,4,11,2004,Motorcycles,118,Diecast Classics Inc.,USA,Medium,44040.729999999996
73,10329,20,100.0,2,3176.0,2004-11-15,Shipped,4,11,2004,Motorcycles,118,Land of Toys Inc.,USA,Medium,53152.28
74,10339,40,68.92,4,2756.8,2004-11-23,Shipped,4,11,2004,Motorcycles,118,"Tokyo Collectables, Ltd",Japan,Small,55888.65
75,10361,26,51.15,8,1329.9,2004-12-17,Shipped,4,12,2004,Motorcycles,118,Souveniers And Things Co.,Australia,Small,37905.15
76,10374,39,100.0,5,5288.01,2005-02-02,Shipped,1,2,2005,Motorcycles,118,"Australian Gift Network, Co",Australia,Medium,21730.03
77,10388,50,44.51,5,2225.5,2005-03-03,Shipped,1,3,2005,Motorcycles,118,FunGiftIdeas.com,USA,Small,37557.66
78,10402,45,100.0,1,5833.8,2005-04-07,Shipped,2,4,2005,Motorcycles,118,Auto Canal Petit,France,Medium,14066.8
79,10417,45,100.0,5,5887.35,2005-05-13,Disputed,2,5,2005,Motorcycles,118,Euro Shopping Channel,Spain,Medium,31821.9
80,10107,27,100.0,4,6065.55,2003-02-24,Shipped,1,2,2003,Motorcycles,193,Land of Toys Inc.,USA,Medium,25783.76
81,10120,46,100.0,2,9264.86,2003-04-29,Shipped,2,4,2003,Motorcycles,193,"Australian Collectors, Co.",Australia,Large,50397.66
82,10134,31,100.0,4,7023.98,2003-07-01,Shipped,3,7,2003,Motorcycles,193,Lyon Souveniers,France,Large,25624.88
83,10145,33,100.0,8,5176.38,2003-08-25,Shipped,3,8,2003,Motorcycles,193,Toys4GrownUps.com,USA,Medium,55776.119999999995
84,10159,22,100.0,16,4132.7,2003-10-10,Shipped,4,10,2003,Motorcycles,193,Corporate Gift Ideas Co.,USA,Medium,62498.29
85,10168,20,100.0,3,4183.0,2003-10-28,Shipped,4,10,2003,Motorcycles,193,Technics Stores Inc.,USA,Medium,62305.47
86,10180,41,100.0,11,8892.9,2003-11-11,Shipped,4,11,2003,Motorcycles,193,Daedalus Designs Imports,France,Large,48874.28
87,10188,45,100.0,3,8714.7,2003-11-18,Shipped,4,11,2003,Motorcycles,193,Herkku Gifts,Norway,Large,34481.340000000004
88,10201,49,100.0,4,8065.89,2003-12-01,Shipped,4,12,2003,Motorcycles,193,Mini Wheels Co.,USA,Large,25431.88
89,10210,34,100.0,1,6123.4,2004-01-12,Shipped,1,1,2004,Motorcycles,193,Osaka Souveniers Co.,Japan,Medium,50490.64
90,10223,49,100.0,3,9774.03,2004-02-20,Shipped,1,2,2004,Motorcycles,193,"Australian Collectors, Co.",Australia,Large,49637.57
91,10237,39,100.0,9,7023.9,2004-04-05,Shipped,2,4,2004,Motorcycles,193,Vitachrome Inc.,USA,Large,24804.34
92,10251,43,100.0,4,7078.23,2004-05-18,Shipped,2,5,2004,Motorcycles,193,Tekni Collectables Inc.,USA,Large,27987.07
93,10263,41,100.0,4,8336.94,2004-06-28,Shipped,2,6,2004,Motorcycles,193,Gift Depot Inc.,USA,Large,44130.520000000004
94,10275,36,100.0,3,6901.92,2004-07-23,Shipped,3,7,2004,Motorcycles,193,La Rochelle Gifts,France,Medium,56002.9
95,10285,27,100.0,8,5438.07,2004-08-27,Shipped,3,8,2004,Motorcycles,193,Marta's Replicas Co.,USA,Medium,48828.72
96,10299,29,100.0,11,6683.34,2004-09-30,Shipped,3,9,2004,Motorcycles,193,"Toys of Finland, Co.",Finland,Medium,42744.06
97,10308,20,100.0,1,4570.4,2004-10-15,Shipped,4,10,2004,Motorcycles,193,Mini Classics,USA,Medium,46873.04
98,10318,37,100.0,3,7667.14,2004-11-02,Shipped,4,11,2004,Motorcycles,193,Diecast Classics Inc.,USA,Large,44040.729999999996
99,10329,26,100.0,3,5868.2,2004-11-15,Shipped,4,11,2004,Motorcycles,193,Land of Toys Inc.,USA,Medium,53152.28
100,10339,39,76.67,3,2990.13,2004-11-23,Shipped,4,11,2004,Motorcycles,193,"Tokyo Collectables, Ltd",Japan,Small,55888.65
101,10362,22,100.0,4,3664.1,2005-01-05,Shipped,1,1,2005,Motorcycles,193,Technics Stores Inc.,USA,Medium,13529.57
102,10374,22,100.0,1,3834.38,2005-02-02,Shipped,1,2,2005,Motorcycles,193,"Australian Gift Network, Co",Australia,Medium,21730.03
103,10388,21,86.77,7,1822.17,2005-03-03,Shipped,1,3,2005,Motorcycles,193,FunGiftIdeas.com,USA,Small,37557.66
104,10403,66,100.0,9,11886.6,2005-04-08,Shipped,2,4,2005,Motorcycles,193,"UK Collectables, Ltd.",UK,Large,40802.81
105,10417,56,100.0,4,9218.16,2005-05-13,Disputed,2,5,2005,Motorcycles,193,Euro Shopping Channel,Spain,Large,31821.9
106,10105,50,100.0,2,7208.0,2003-02-11,Shipped,1,2,2003,Classic Cars,136,Danish Wholesale Imports,Denmark,Large,58871.11
107,10119,46,100.0,11,5004.8,2003-04-28,Shipped,2,4,2003,Classic Cars,136,Salzburg Collectables,Austria,Medium,38629.14
108,10129,33,100.0,2,4398.24,2003-06-12,Shipped,2,6,2003,Classic Cars,136,"Stylish Desk Decors, Co.",UK,Medium,32376.29
109,10143,49,100.0,15,5597.76,2003-08-10,Shipped,3,8,2003,Classic Cars,136,Mini Creations Ltd.,USA,Medium,45738.39
110,10155,32,100.0,13,4526.08,2003-10-06,Shipped,4,10,2003,Classic Cars,136,"Toys of Finland, Co.",Finland,Medium,42083.5
111,10167,44,100.0,9,5924.16,2003-10-23,Cancelled,4,10,2003,Classic Cars,136,Scandinavian Gift Ideas,Sweden,Medium,48710.92
112,10178,24,100.0,12,3492.48,2003-11-08,Shipped,4,11,2003,Classic Cars,136,Alpha Cognac,France,Medium,38098.24
113,10186,26,100.0,9,3854.24,2003-11-14,Shipped,4,11,2003,Classic Cars,136,"Double Decker Gift Stores, Ltd",UK,Medium,27541.82
114,10197,45,100.0,6,5324.4,2003-11-26,Shipped,4,11,2003,Classic Cars,136,Enaco Distributors,Spain,Medium,44009.31
115,10209,39,100.0,8,5197.92,2004-01-09,Shipped,1,1,2004,Classic Cars,136,"Men 'R' US Retailers, Ltd.",USA,Medium,23889.32
116,10222,49,100.0,12,5997.6,2004-02-19,Shipped,1,2,2004,Classic Cars,136,Collectable Mini Designs Co.,USA,Medium,61617.01
117,10248,20,100.0,3,2910.4,2004-05-07,Cancelled,2,5,2004,Classic Cars,136,Land of Toys Inc.,USA,Small,45357.659999999996
118,10261,27,100.0,1,3378.24,2004-06-17,Shipped,2,6,2004,Classic Cars,136,Quebec Home Shopping Network,Canada,Medium,24564.53
119,10273,30,100.0,4,3508.8,2004-07-21,Shipped,3,7,2004,Classic Cars,136,Petit Auto,Belgium,Medium,47760.479999999996
120,10283,25,100.0,6,2992.0,2004-08-20,Shipped,3,8,2004,Classic Cars,136,"Royal Canadian Collectables, Ltd.",Canada,Small,43332.35
121,10295,24,100.0,1,3427.2,2004-09-10,Shipped,3,9,2004,Classic Cars,136,Gifts4AllAges.com,USA,Medium,15344.64
122,10307,22,100.0,9,2692.8,2004-10-14,Shipped,4,10,2004,Classic Cars,136,"Classic Gift Ideas, Inc",USA,Small,27445.31
123,10316,33,100.0,17,4128.96,2004-11-01,Shipped,4,11,2004,Classic Cars,136,giftsbymail.co.uk,UK,Medium,51334.16
124,10325,47,64.93,6,3051.71,2004-11-05,Shipped,4,11,2004,Classic Cars,136,Baane Mini Imports,Norway,Medium,40652.85
125,10337,25,48.05,8,1201.25,2004-11-21,Shipped,4,11,2004,Classic Cars,136,Classic Legends Inc.,USA,Small,27733.04
126,10350,26,75.47,5,1962.22,2004-12-02,Shipped,4,12,2004,Classic Cars,136,Euro Shopping Channel,Spain,Small,52269.17
127,10359,48,54.68,6,2624.64,2004-12-15,Shipped,4,12,2004,Classic Cars,136,Reims Collectables,France,Small,30214.42
128,10373,39,100.0,3,4046.25,2005-01-31,Shipped,1,1,2005,Classic Cars,136,"Oulu Toy Supplies, Inc.",Finland,Medium,49055.4
129,10384,34,100.0,4,4846.7,2005-02-23,Shipped,1,2,2005,Classic Cars,136,Corporate Gift Ideas Co.,USA,Medium,17707.67
130,10395,32,100.0,2,3370.56,2005-03-17,Shipped,1,3,2005,Classic Cars,136,Lyon Souveniers,France,Medium,20321.53
131,10400,64,100.0,9,9661.44,2005-04-01,Shipped,2,4,2005,Classic Cars,136,The Sharp Gifts Warehouse,USA,Large,37526.84
132,10414,19,100.0,3,2764.88,2005-05-06,On Hold,2,5,2005,Classic Cars,136,Gifts4AllAges.com,USA,Small,48316.89
133,10103,42,100.0,4,5398.26,2003-01-29,Shipped,1,1,2003,Classic Cars,147,Baane Mini Imports,Norway,Medium,54702.0
134,10114,31,100.0,8,4305.28,2003-04-01,Shipped,2,4,2003,Classic Cars,147,"La Corne D'abondance, Co.",France,Medium,38217.41
135,10126,22,100.0,4,3347.74,2003-05-28,Shipped,2,5,2003,Classic Cars,147,"Corrida Auto Replicas, Ltd",Spain,Medium,61073.21
136,10140,26,100.0,4,3188.12,2003-07-24,Shipped,3,7,2003,Classic Cars,147,Technics Stores Inc.,USA,Medium,42031.83
137,10150,20,100.0,1,3191.2,2003-09-19,Shipped,3,9,2003,Classic Cars,147,"Dragon Souveniers, Ltd.",Singapore,Medium,44219.36
138,10164,21,100.0,2,3536.82,2003-10-21,Resolved,4,10,2003,Classic Cars,147,Mini Auto Werke,Austria,Medium,28550.59
139,10175,33,100.0,9,5362.83,2003-11-06,Shipped,4,11,2003,Classic Cars,147,"Stylish Desk Decors, Co.",UK,Medium,42688.31
140,10183,28,100.0,1,3433.36,2003-11-13,Shipped,4,11,2003,Classic Cars,147,"Classic Gift Ideas, Inc",USA,Medium,40061.659999999996
141,10194,26,100.0,4,4263.74,2003-11-25,Shipped,4,11,2003,Classic Cars,147,"Saveley & Henriot, Co.",France,Medium,41535.11
142,10207,31,100.0,15,4076.19,2003-12-09,Shipped,4,12,2003,Classic Cars,147,Diecast Collectables,USA,Medium,63730.78
143,10217,48,100.0,4,7020.48,2004-02-04,Shipped,1,2,2004,Classic Cars,147,Handji Gifts& Co,Singapore,Large,24219.59
144,10229,50,100.0,9,6426.5,2004-03-11,Shipped,1,3,2004,Classic Cars,147,Mini Gifts Distributors Ltd.,USA,Medium,48922.77
145,10245,28,100.0,2,4591.72,2004-05-04,Shipped,2,5,2004,Classic Cars,147,Super Scale Inc.,USA,Medium,36973.31
146,10259,26,100.0,12,4033.38,2004-06-15,Shipped,2,6,2004,Classic Cars,147,Handji Gifts& Co,Singapore,Medium,45788.72
147,10270,32,100.0,2,4302.08,2004-07-19,Shipped,3,7,2004,Classic Cars,147,Souveniers And Things Co.,Australia,Medium,41297.14
148,10281,44,100.0,9,7020.64,2004-08-19,Shipped,3,8,2004,Classic Cars,147,Diecast Classics Inc.,USA,Large,44781.35
149,10291,30,100.0,4,3855.9,2004-09-08,Shipped,3,9,2004,Classic Cars,147,Scandinavian Gift Ideas,Sweden,Medium,53941.69
150,10305,38,100.0,13,6680.78,2004-10-13,Shipped,4,10,2004,Classic Cars,147,Marta's Replicas Co.,USA,Medium,54251.659999999996
151,10313,40,100.0,7,6678.0,2004-10-22,Shipped,4,10,2004,Classic Cars,147,Canadian Gift Exchange Network,Canada,Medium,36576.71
152,10322,46,61.99,8,2851.54,2004-11-04,Shipped,4,11,2004,Classic Cars,147,Online Diecast Creations Co.,USA,Small,55570.6
153,10334,26,100.0,2,3188.12,2004-11-19,On Hold,4,11,2004,Classic Cars,147,"Volvo Model Replicas, Co",Sweden,Medium,26260.21
154,10347,27,100.0,2,4428.0,2004-11-29,Shipped,4,11,2004,Classic Cars,147,"Australian Collectors, Co.",Australia,Medium,47442.91
155,10357,43,100.0,9,5780.92,2004-12-10,Shipped,4,12,2004,Classic Cars,147,Mini Gifts Distributors Ltd.,USA,Medium,42152.11
156,10370,35,65.63,4,2297.05,2005-01-20,Shipped,1,1,2005,Classic Cars,147,"Anna's Decorations, Ltd",Australia,Small,29852.17
157,10381,37,100.0,6,6231.54,2005-02-17,Shipped,1,2,2005,Classic Cars,147,Corporate Gift Ideas Co.,USA,Medium,36495.95
158,10391,37,46.9,7,1735.3,2005-03-09,Shipped,1,3,2005,Classic Cars,147,"Anna's Decorations, Ltd",Australia,Small,35160.25
159,10411,27,100.0,2,4427.73,2005-05-01,Shipped,2,5,2005,Classic Cars,147,Quebec Home Shopping Network,Canada,Medium,33692.97
160,10425,38,100.0,12,5894.94,2005-05-31,In Process,2,5,2005,Classic Cars,147,La Rochelle Gifts,France,Medium,43784.69
161,10108,33,100.0,6,5265.15,2003-03-03,Shipped,1,3,2003,Classic Cars,194,Cruz & Sons Co.,Philippines,Medium,55245.020000000004
162,10122,42,100.0,10,7599.9,2003-05-08,Shipped,2,5,2003,Classic Cars,194,Marseille Mini Autos,France,Large,52481.840000000004
163,10135,42,100.0,7,8008.56,2003-07-02,Shipped,3,7,2003,Classic Cars,194,Mini Gifts Distributors Ltd.,USA,Large,59280.51
164,10147,48,100.0,7,9245.76,2003-09-05,Shipped,3,9,2003,Classic Cars,194,Collectables For Less Inc.,USA,Large,34992.4
165,10159,41,100.0,2,8296.35,2003-10-10,Shipped,4,10,2003,Classic Cars,194,Corporate Gift Ideas Co.,USA,Large,62498.29
166,10169,30,100.0,2,5019.9,2003-11-04,Shipped,4,11,2003,Classic Cars,194,"Anna's Decorations, Ltd",Australia,Medium,41791.95
167,10181,27,100.0,14,5411.07,2003-11-12,Shipped,4,11,2003,Classic Cars,194,Herkku Gifts,Norway,Medium,60795.84
168,10191,21,100.0,3,3840.9,2003-11-20,Shipped,4,11,2003,Classic Cars,194,"Toms Spezialitten, Ltd",Germany,Medium,31363.18
169,10203,20,100.0,8,3930.4,2003-12-02,Shipped,4,12,2003,Classic Cars,194,Euro Shopping Channel,Spain,Medium,45116.18
170,10211,41,100.0,2,7498.9,2004-01-15,Shipped,1,1,2004,Classic Cars,194,Auto Canal Petit,France,Large,51172.65
171,10225,27,100.0,9,4517.91,2004-02-22,Shipped,1,2,2004,Classic Cars,194,"Vida Sport, Ltd",Switzerland,Medium,50432.549999999996
172,10238,28,100.0,3,5774.72,2004-04-09,Shipped,2,4,2004,Classic Cars,194,Danish Wholesale Imports,Denmark,Medium,31329.56
173,10253,24,100.0,13,3922.56,2004-06-01,Cancelled,2,6,2004,Classic Cars,194,"UK Collectables, Ltd.",UK,Medium,50408.25
174,10266,44,100.0,14,9160.36,2004-07-06,Shipped,3,7,2004,Classic Cars,194,L'ordine Souveniers,Italy,Large,56421.65
175,10276,50,100.0,3,9631.0,2004-08-02,Shipped,3,8,2004,Classic Cars,194,Online Mini Collectables,USA,Large,52505.36
176,10287,21,100.0,12,3432.24,2004-08-30,Shipped,3,8,2004,Classic Cars,194,"Vida Sport, Ltd",Switzerland,Medium,67281.01
177,10300,33,100.0,5,5521.89,2003-10-04,Shipped,4,10,2003,Classic Cars,194,"Blauer See Auto, Co.",Germany,Medium,27257.79
178,10310,33,100.0,10,6934.62,2004-10-16,Shipped,4,10,2004,Classic Cars,194,"Toms Spezialitten, Ltd",Germany,Medium,68943.4
179,10320,31,100.0,3,6876.11,2004-11-03,Shipped,4,11,2004,Classic Cars,194,"Volvo Model Replicas, Co",Sweden,Medium,19599.35
180,10329,41,71.47,5,2930.27,2004-11-15,Shipped,4,11,2004,Classic Cars,194,Land of Toys Inc.,USA,Small,53152.28
181,10341,45,79.65,2,3584.25,2004-11-24,Shipped,4,11,2004,Classic Cars,194,Salzburg Collectables,Austria,Medium,45001.11
182,10363,33,85.39,3,2817.87,2005-01-06,Shipped,1,1,2005,Classic Cars,194,Suominen Souveniers,Finland,Small,51373.49
183,10375,45,76.0,7,3420.0,2005-02-03,Shipped,1,2,2005,Classic Cars,194,La Rochelle Gifts,France,Medium,59617.4
184,10389,26,99.04,4,2575.04,2005-03-03,Shipped,1,3,2005,Classic Cars,194,Scandinavian Gift Ideas,Sweden,Small,31606.72
185,10419,12,100.0,13,1961.28,2005-05-17,Shipped,2,5,2005,Classic Cars,194,Salzburg Collectables,Austria,Small,59475.1
186,10105,41,100.0,15,8690.36,2003-02-11,Shipped,1,2,2003,Classic Cars,207,Danish Wholesale Imports,Denmark,Large,58871.11
187,10117,33,100.0,9,6034.38,2003-04-16,Shipped,2,4,2003,Classic Cars,207,"Dragon Souveniers, Ltd.",Singapore,Medium,43657.47
188,10127,46,100.0,2,11279.2,2003-06-03,Shipped,2,6,2003,Classic Cars,207,Muscle Machine Inc,USA,Large,68462.15
189,10142,33,100.0,12,8023.29,2003-08-08,Shipped,3,8,2003,Classic Cars,207,Mini Gifts Distributors Ltd.,USA,Large,63088.16
190,10153,20,100.0,11,4904.0,2003-09-28,Shipped,3,9,2003,Classic Cars,207,Euro Shopping Channel,Spain,Medium,47727.82
191,10165,44,100.0,3,8594.52,2003-10-22,Shipped,4,10,2003,Classic Cars,207,"Dragon Souveniers, Ltd.",Singapore,Large,77809.37
192,10176,33,100.0,2,7474.5,2003-11-06,Shipped,4,11,2003,Classic Cars,207,L'ordine Souveniers,Italy,Large,44669.74
